ID;X;Y;108;111;115;119;123;125;129;133;138;140;143;;
2054;412875.61;4527631.62;1b;1c;2b;2c;4;4a;4b;5a;5bc;5bc;5c;;
2057;412881.27;4527620.55;1b;2;2c;3b;4b;4b;4c;5bc;5c;5c;5c;;
2061;412857.29;4527639.45;1b;2;3;3b;4b;4bc;5;5b;5c;5c;5c;;
2062;412860.65;4527634.96;1b;1b;2;2b;3bc;4;4b;4c;5b;5bc;5c;;
2063;412865.46;4527632.19;1b;2;2a;2c;3c;4;4a;4ab;5b;5b;5c;;
2064;412872.25;4527629.63;1b;1c;2b;3ab;4;4a;4b;5a;5bc;5bc;5c;;
2071;412852.67;4527637.06;1b;1b;2;2;2bc;3c;4bc;5;5c;5c;5c;;
2072;412855.74;4527635.15;1b;1b;2;2a;3;3c;4bc;5;5c;5c;5c;;
2073;412862.48;4527630.03;1b;1bc;2a;2c;3c;3c;4;4ab;5b;5b;5c;;
2074;412865.84;4527626.91;1b;1c;2;3;4;4a;4bc;5b;5c;5c;5c;;
2077;412875.90;4527612.65;1b;1b;1bc;1bc;2c;3;3c;4a;5c;5c;5c;;
2080;412870.03;4527606.85;1bc;2;2ab;2c;3bc;4;4ab;4c;5b;5b;5c;;
2081;412849.46;4527632.17;1b;1bc;1c;2;3;3bc;4a;4c;5c;5c;5c;;
2082;412852.60;4527629.29;1b;1bc;1c;2b;3c;4;4ab;5;5b;5b;5c;;
2083;412854.51;4527628.49;1b;1b;1c;2b;3c;4;4ab;5;5b;5b;5c;;
2084;412852.87;4527623.33;1b;1c;2ab;3;4;4a;4b;5;5c;5c;5c;;
2085;412857.63;4527620.27;1b;1b;1c;2ab;3bc;4;4b;5;5c;5c;5c;;
2090;412861.47;4527609.49;1b;1c;2c;3ab;4;4;4b;5;5c;5c;5c;;
2091;412845.26;4527627.42;1bc;1c;2;2ab;3b;3c;4a;4bc;5bc;5c;5c;;
2092;412848.98;4527624.67;1b;2;2c;3a;4;4a;4c;5ab;5c;5c;5c;;
2093;412848.83;4527622.89;1bc;2;2c;3a;4;4a;4c;5ab;5c;5c;5c;;
2094;412854.34;4527618.86;1b;1c;2ab;2c;4;4;4b;5;5c;5c;5c;;
2095;412855.14;4527616.03;1bc;1c;2;2bc;4;4a;4bc;5a;5c;5c;5c;;
2096;412856.24;4527612.84;1b;1bc;2;2c;3c;4;4b;5;5c;5c;5c;;
2097;412860.82;4527606.81;1b;2;2c;3ab;3c;4;4b;5;5c;5c;5c;;
2098;412866.16;4527607.39;1b;1c;2;2c;3c;4;4ab;4c;5b;5b;5c;;
2100;412859.54;4527619.50;1b;1bc;2;2bc;3c;4;4b;5;5c;5c;5c;;
4088;412849.15;4527633.30;1bc;1bc;1c;2;3;3bc;4a;4c;5c;5c;5c;;
4089;412848.71;4527634.08;1b;1b;1c;2;3;3c;4a;4c;5c;5c;5c;;
4090;412851.33;4527636.81;1b;1b;2a;2a;3bc;4;4bc;5;5c;5c;5c;;
4091;412850.66;4527638.80;1b;1b;2;2;2bc;3;4bc;5;5c;5c;5c;;
4092;412850.08;4527639.49;1b;1b;2;2;2bc;3;4bc;5;5c;5c;5c;;
4093;412852.51;4527640.78;1b;1c;2;2a;3bc;4;4bc;5;5c;5c;5c;;
4094;412858.68;4527643.91;1b;1c;2b;2c;3bc;4;4ab;4c;5c;5c;5c;;
4095;412858.52;4527644.94;1b;1c;2b;2c;3bc;4;4ab;4c;5c;5c;5c;;
4096;412859.58;4527645.91;1b;1b;2;2ab;3bc;4;4ab;4c;5c;5c;5c;;
4117;412844.12;4527626.28;1bc;1c;2;2ab;3b;3c;4;4bc;5bc;5c;5c;;
4157;412847.32;4527623.06;1bc;2;2c;3a;4;4a;4c;5ab;5c;5c;5c;;
4174;412845.71;4527625.17;1bc;1c;2c;3a;4;4a;4c;5ab;5c;5c;5c;;

